No	Tender No	Decision Reference	Description	Vendor	Date of award	Value of Decision	Reason	Department
1	SCMB 06/02/17	SCMB 06/02/17	REQUEST FOR DEVIATION AND/OR CONDONATION: HEART 104.9 FM CONTRACT: RADIO SHOW FOR THE EXECUTIVE MAYOR AND PREMIER	Heart 104.9 FM 	06 February 2017	 9 240.00 	Deviation: Exceptional Circumstances	#N/A
2	115C/2016/17	SCMB 08/01/17	Provision of a payroll system for special projects payments	CPI Holdings (Pty) Ltd	06 February 2017	 2 000 000.00 	Award: One Responsive Bid	Finance - Expenditure
3	117C/2016/17	SCMB 09/01/17	PROVISION OF PROFESSIONAL SERVICES TO CONDUCT INTEGRATED QUALITY TRAINING, CONSULTATION SERVICES AND INTEGRATED ASSESSMENTS IN WATER AND SANITATION DEPARTMENT	Academy of Food Safety and Quality Management Systems CC	06 February 2017	 2 000 000.00 	Award: One Responsive Bid	Informal Settlements, Water & Waste - Water & Sanitation
4	118C/2016/17	SCMB 10/02/17	Consulting Services for VAT and Payroll matters	Raft Consulting (Pty) Ltd	06 February 2017	 750 000.00 	Award: Highest Adjudication Points	Finance - Expenditure
5	37Q/2016/16	SCMB 11/02/17	CIVIL WORKS AND REHABILITATION OF THE LADIES MILE SOLID WASTE DROP-OFF FACILITY	Nammic Western Cape CC 	06 February 2017	 1 298 770.00 	Award: Highest Adjudication Points	Utility Services - Solid Waste Services
6	64Q/2016/17	SCMB 12/02/17	REPAIR OF THE MARINE DRIVE LINK BRIDGE OVER FW DE KLERK BOULEVARD, WOODSTOCK, CAPE TOWN	Nammic Western Cape CC 	06 February 2017	 3 589 668.50 	Award: Highest Adjudication Points	Transport for Cape Town - Performance and Co-ordination
7	69Q/2016/17	SCMB 13/02/17	CONSTRUCTION OF 13TH AVENUE SATELLITE DROP OFF, KENSINGTON, CITY OF CAPE TOWN	Nammic Western Cape CC 	06 February 2017	1 951 433.00 	Award: Highest Adjudication Points	Utility Services - Solid Waste Services
8	372Q/2015/16	SCMB 14/02/17	Repairs and maintenance to Lansdowne Civic Centre	Premier Attraction CC t/a Gasant Builders and Decorators	06 February 2017	 784 470.50 	Award: Highest Adjudication Points	Social Services - Recreation & Parks
9	9S/2016/17	SCMB 21/02/17	PROVISION OF AN ELECTRONIC FUNCTION FOR TRACING, ADVERSE CREDIT LISTING AND OTHER RELATED SERVICES FOR THE CITY OF CAPE TOWN 	Consumer Profile Bureau (Pty) Ltd)	13 February 2017		Award: One Responsive Bid	Finance Services - Revenue
10	59C/2016/17	SCMB 22/02/17	PROVISION OF PROFESSIONAL SERVICES FOR INVESTIGATIONS, STAKEHOLDER ENGAGEMENT, DESIGN, TENDER DOCUMENTATION, CONTRACT ADMINISTRATION AND CONTRACT MONITORING FOR SLOPE STABILISATION MEASURES AND A STRUCTURE AT GORDON`S BAY	"ZAA Engineering Projects and Naval Architecture (Pty)Ltd "	13 February 2017	 2 705 689.00 	Award: One Responsive Bid	Utility Services - Water Services
11	19G/2016/17	SCMB 23/02/17	SUPPLY, DELIVERY AND INSTALLATION OF SIGNAGE BOARDS	Steyn Signage and Maintenance CC and Spagi Signs CC	13 February 2017	 3 000 000.00 	Award: Highest Adjudication Points	Community Services - Sport , Recreation and Amenities
12	92G/2016/17	SCMB 24/02/17	SUPPLY AND DELIVERY OF VARIOUS REFUSE COMPACTORS	Isuzu Truck Centre (Pty) Ltd 	13 February 2017	 150 000 000.00 	Award: One Responsive Bid	Utility Services - Solid Waste Services
13	410G/2015/16	SCMB 25/02/17	Supply and delivery of soft body armour vests for the City of Cape Town	Sirdicks CC and Monix Clothing CC 	13 February 2017	 7 703 841.38 	Award: Highest Adjudication Points	Safety & Security - Metropolitan Police
14	58Q/2016/17	SCMB 26/02/17	CONSTRUCTION OF A NEW FIRE STATION AT MASIPHUMELELE, KOMMETJIE	Shotha Engineering CC	13 February 2017	 14 125 875.35 	Award: Highest Adjudication Points	Safety & Security - Emergency Services
