ID	Gender	Age	Race	What is the person doing	Group	Number of people in the group	Where was the person sleeping/ observed?	Street Name	Area	X               GPS Co ordinate	Y                  GPS Co ordinate
G351	Male	26-35	Black African	Job Seeker	Yes	8	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G352	Male	26-35	Black African	Job Seeker	Yes	8	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G353	Male	46-55	Black African	Job Seeker	Yes	8	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G354	Male	26-35	Black African	Job Seeker	Yes	8	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G3618	Male	36-45	Black African	Job Seeker	Yes	8	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G3619	Male	26-35	Black African	Job Seeker	Yes	8	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G3620	Male	36-45	Black African	Job Seeker	Yes	8	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G3621	Male	36-45	Black African	Job Seeker	Yes	8	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G3420	Male	36-45	Black African	Job Seeker	No	1	Pavement	Tinker Road	Summer Greens	18,52818487	-33,88091172
G3421	Male	26-35	Black African	Job Seeker	No	1	Pavement	Tinker Road	Summer Greens	18,52818487	-33,88091172
G3120	Male	36-45	Black African	Job Seeker	Yes	1	Pavement	Tinker Road	Summer Greens	18,52831339	-33,8810196
G3121	Male	36-45	Black African	Job Seeker	Yes	1	Pavement	Tinker Road	Summer Greens	18,52831339	-33,8810196
G361	Male	46-55	Coloured	Skarelling	No	1	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G362	Male	36-45	Black African	Skarelling	No	1	Pavement	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G3517	Male	26-35	Coloured	Strolling	Yes	5	Park	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
G3517	Male	26-35	Coloured	Strolling	Yes	5	Park	Tinkers Pl.	Summer Greens	18,52806772	-33,88137879
